,Loss,Accuracy
0,-0.2639580752168383,0.7101389141309828
1,-0.2931696886108035,0.7774603395234971
2,-0.30256629132089163,0.8040079559598651
3,-0.3074603960627601,0.8129365217118036
4,-0.31101065164520625,0.823531761055901
5,-0.3137304115863073,0.8259523965063549
6,-0.316499833549772,0.8307738304138184
7,-0.3205511101654598,0.8418651024500529
8,-0.32158195972442627,0.8428968446595329
9,-0.3215225026721046,0.830615100406465
10,-0.32212781480380465,0.8354166859672183
11,-0.32527620026043486,0.8423809721356347
12,-0.32574172956602915,0.8385119182722909
13,-0.32802186409632367,0.8407539867219471
14,-0.32710550796417964,0.8352579502832322
15,-0.32962641545704435,0.8466666851724897
16,-0.3295060296853383,0.8405158917109171
17,-0.33002742415382746,0.8397817668460664
18,-0.3306089582897368,0.8424206603141058
19,-0.3316883529935564,0.8498412796429226
20,-0.3321098472390856,0.8406944672266642
21,-0.33198136516979765,0.8405952538762774
22,-0.33476386467615765,0.8504960565339952
23,-0.33347155366625103,0.8383928792817252
24,-0.3334040343761444,0.8379762115932646
25,-0.3338558432601747,0.8394841438248044
26,-0.331103911002477,0.8378174872625441
27,-0.3073048336165292,0.8283730347951254
28,-0.31189838761375066,0.8582539899008614
29,-0.3159035075278509,0.8573412923585801
30,-0.31637372573216754,0.8533928706532433
31,-0.32085823870840524,0.854861128897894
32,-0.3243689920221056,0.8598412928127107
33,-0.32505370179812115,0.8549008170763651
34,-0.3256855436733791,0.8522619236083258
35,-0.32706954933348154,0.8508730303673517
36,-0.3295451133024125,0.855853191443852
37,-0.32807543306123643,0.8526190661248707
38,-0.3288127070381528,0.8507936767169407
39,-0.33109419686453684,0.8541666865348816
40,-0.33225200999350774,0.8574801825341725
41,-0.3313158480893998,0.8474603380475726
42,-0.3321316611199152,0.8475000177110944
43,-0.33320610438074383,0.8518651042665754
44,-0.32730160156885785,0.8608531951904297
45,-0.33346605442819144,0.8574801740192232
46,-0.3337706384204683,0.8537500216847375
47,-0.33334079810551237,0.8501587510108948
48,-0.33282966698919025,0.84932541847229
49,-0.3359401197660537,0.8557738292784918
50,-0.33592549959818524,0.858134945233663
51,-0.33480305331093924,0.8464285958380926
52,-0.3353227320171538,0.8485912992840722
53,-0.3346546661286127,0.8486706500961667
54,-0.3356835955665225,0.851071454229809
55,-0.335388720035553,0.8397420871825445
56,-0.33528473121779306,0.8437500255448478
57,-0.3342868387699127,0.8474404982158116
58,-0.33531402690070017,0.8401785890261332
59,-0.3359056654430571,0.841329384417761
60,-0.33651799247378394,0.8483333530880156
61,-0.33841519554456073,0.8531547813188463
62,-0.3369497741971697,0.8409722447395325
63,-0.33743719117982046,0.8419047821135748
64,-0.33690570081983295,0.8373809740656898
65,-0.3370293322063628,0.8535714490073067
66,-0.3383422635850452,0.8532341463225228
67,-0.3380085173107329,0.8431547908555894
68,-0.3402730183941977,0.8505555788675944
69,-0.34072208404541016,0.8456349401246934
70,-0.3319945094131288,0.8261905057089669
71,-0.3353662079288846,0.83097224292301
72,-0.3348841667175293,0.8150397085008168
73,-0.33581759674208506,0.8296230378605071
74,-0.3363499442736308,0.8229762060301644
75,-0.33710399695805143,0.8232936688831874
76,-0.33679488443192984,0.8203373182387579
77,-0.33559038809367586,0.822797641867683
78,-0.3382402246906644,0.8286706521397545
79,-0.3375945346696036,0.82424605460394
80,-0.335457117784591,0.8126389157204401
81,-0.3384225382691338,0.8268650940486363
82,-0.3335301166489011,0.8067262059166318
83,-0.33116830104873296,0.8259523936680385
84,-0.3101312872909364,0.8648214396976289
85,-0.31503594915072125,0.8732738324574062
86,-0.3168694561436063,0.8735714498020354
87,-0.3220883763971783,0.8810912995111375
88,-0.3214317758878072,0.8774206553186689
89,-0.32442696179662434,0.8805555814788455
90,-0.3269146098977044,0.8825000269072396
91,-0.3270819996084486,0.875654779729389
92,-0.32631330830710276,0.8706151019959223
93,-0.3294844925403595,0.8737897049813044
94,-0.3301237708046323,0.8828373239153907
95,-0.3311372796694438,0.8843849358104524
96,-0.3320075954709734,0.8784920771916708
97,-0.3320573014872415,0.8791865223929995
98,-0.3313544350011008,0.8761309754280817
99,-0.3342525362968445,0.8847420868419466
